,KIC,bl
0,1435467,3.14
1,2837475,3.14
2,3427720,3.14
3,3456181,1.79
4,3632418,3.14
5,3656476,3.14
6,3735871,3.14
7,4914923,3.14
8,5184732,2.63
9,5773345,1.53
10,5950854,1.52
11,6106415,2.79
12,6116048,3.14
13,6225718,2.88
14,6508366,3.14
15,6603624,3.14
16,6679371,3.14
17,6933899,3.14
18,7103006,3.14
19,7106245,2.81
20,7206837,3.14
21,7296438,1.28
22,7510397,2.63
23,7680114,3.14
24,7771282,1.79
25,7871531,3.14
26,7940546,2.63
27,7970740,2.88
28,8006161,3.14
29,8150065,1.52
30,8179536,1.79
31,8228742,3.14
32,8379927,3.89
33,8394589,3.14
34,8424992,1.01
35,8694723,3.14
36,8760414,3.14
37,8938364,2.88
38,9025370,3.14
39,9098294,3.14
40,9139151,3.14
41,9139163,3.14
42,9206432,2.02
43,9353712,2.02
44,9410862,2.81
45,9414417,2.88
46,9812850,3.14
47,9955598,3.14
48,9965715,2.27
49,10068307,2.63
50,10079226,1.01
51,10162436,3.14
52,10454113,3.14
53,10516096,3.14
54,10644253,3.14
55,10730618,2.68
56,10963065,3.72
57,11081729,3.14
58,11253226,3.14
59,11772920,3.14
60,12009504,3.14
61,12069127,1.79
62,12069424,2.88
63,12069449,2.88
64,12258514,3.14
65,12317678,3.14
66,3425851,0.72
67,3544595,3.72
68,4141376,2.88
69,4143755,2.88
70,4349452,3.14
71,4914423,2.52
72,5094751,3.32
73,5866724,3.64
74,6196457,0.72
75,6278762,0.6
76,6521045,3.64
77,7670943,2.88
78,8077137,2.88
79,8292840,3.14
80,8349582,3.64
81,8478994,3.14
82,8494142,2.63
83,8554498,3.89
84,8866102,3.64
85,9592705,2.88
86,10514430,1.79
87,10586004,0.49
88,10666592,4.03
89,11133306,2.88
90,11295426,3.14
91,11401755,2.88
92,11807274,2.88
93,11853905,3.02
94,11904151,3.81
