,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,G,bprp,nus*,l_nus*,u_nus*,cosi,l_cosi,u_cosi,i,l_i,u_i,nus,l_nus,u_nus,P,l_P,u_P,vsini,l_vsini,u_vsini,fit_numax,efit_numax,fit_d01,efit_d01,fit_d02,efit_d02,fit_epsilon,efit_epsilon,V1,eV1,V2,eV2,flag,chainflag,ebprp
0,1435467,6326,3.0164,70.369,77,0.034,0.1,6.3,0.01,0.3513,0.0088,0.0513,0.021,4.0997,1.3189,1.6925,1406.7,L,0.4951,0.0088,0.0304,0.018000000000000002,8.779618,0.65381527,1.5662413880811674,0.08008719542664666,0.08590846450900513,0.4454493856731499,0.14653854427722096,0.09800005817089036,1.1091201923485685,0.1128647462283967,0.15812502333186185,1.7557980841549456,0.16683747535656512,0.16950105411859218,6.591916338652008,0.5803445019355662,0.6921371595192198,11.587486605440958,0.592507203126921,0.6355745604524348,1411.6818210835308,6.266277433887353,0.4578770260166338,0.00738092650682165,0.07430117709747777,0.005856266781542233,1.1194669184884032,0.004669012370718928,1.3870861912451686,0.051687869560886224,0.9837308042462316,0.05846056743631145,,0,0.0041190871162367524
1,2837475,6614,1.6269999999999998,75.729,77,0.040999999999999995,0.1,8.2,0.01,0.1757,0.0066,0.0209,0.018000000000000002,4.1635,1.4291,1.6385,1557.6,L,0.1118,0.0066,0.019,0.015,8.398082,0.57503986,3.121871700566631,0.07626959849416659,0.07550833901669574,0.31606551839729724,0.10118433188547538,0.07335093844190504,1.2492167915110954,0.07841841771516456,0.1050093613544032,3.291980703427463,0.14154261505022347,0.14810276466846384,3.515838980600673,0.15136419919670274,0.15795931329746526,22.359565934123893,0.5462604744422883,0.5408081582960484,1569.5703992811684,5.564368115655725,0.467490350644677,0.007288572120659642,0.07294230387061637,0.006016771821786102,0.9157230059906407,0.0052118048516413,1.4096036533280214,0.03869514222121828,1.0230581568430606,0.04588549117695839,,0,0.0031125022881190755
2,3427720,6045,2.2339,120.068,77,0.031,0.1,10.7,-0.06,0.2396,0.0055,0.0095,0.009000000000000001,4.3868,1.1079999999999999,1.1167,2737.0,L,0.2396,0.0044,0.0209,0.009000000000000001,9.038882000000001,0.7422743,0.30443320612037716,0.07068470474783381,0.060250811012728556,0.5587685009661189,0.3723737683047387,0.2754944038563656,0.9778961896532303,0.39389444632312975,0.40540885391717274,0.37058757564854816,0.1030564504603878,0.22290218449234134,31.231684304467613,11.729959335184503,12.030848491348884,1.486039691159304,0.34503554376267065,0.2941042395817015,2730.1932999879095,7.138942983330253,0.46941792554442774,0.0021833740219215914,0.08530712505964874,0.002510631155794113,1.3569952213873764,0.0016229718037079621,1.3244476192680241,0.04088610809203019,0.834275486309319,0.032458993873764386,,0,0.0032208643078122596
3,3456181,6384,2.0901,52.263999999999996,77,0.040999999999999995,0.1,8.3,-0.15,0.1278,0.0077,0.019,0.027000000000000003,3.949,1.4975,2.1483,970.0,L,0.1278,0.0088,0.0304,0.027000000000000003,9.559311,0.6523819000000001,0.9148183374314446,0.08114092621162772,0.07745718146969982,0.4899233965708526,0.3362017511874896,0.2704064052178924,1.0587944475733568,0.3518188344247165,0.35766828678198914,1.0502025719227839,0.15615748648897498,0.40734981870756726,11.02080161015493,3.0800413639023274,1.924937117299443,8.59076148841838,0.7619680492966587,0.7273752004574305,967.8882392841748,4.88067745445835,0.4351013126591201,0.008899342606373928,0.08227808182869625,0.005815125800529716,0.9914520744559439,0.004939717753104755,1.3807497248332667,0.05445047562566452,0.9779159816518208,0.06265661740039863,,0,0.004178874700352648
4,3632418,6193,2.6331,60.70399999999999,77,0.019,0.1,3.0,-0.12,0.1757,0.0077,0.0209,0.024,4.0238,1.4082,1.9114,1166.8,L,0.1757,0.0077,0.0209,0.021,8.128324000000001,0.6891513000000001,0.988042339315892,0.02822691699305102,0.028095802578068763,0.32896425883813174,0.15263605009810727,0.0983198540695947,1.2355897470240582,0.10628014761824334,0.15795162284447217,1.047138971061504,0.059087364507215856,0.06603645064884,11.053044910320631,0.6556952663263367,0.6609930992109341,8.255226786462902,0.23583969227638768,0.23474421368443998,1170.0929477314812,3.5945896391845054,0.43558303541019766,0.004808080295676254,0.07157400708611925,0.004301918723727899,1.1200271416194498,0.0027959356396822788,1.3583929608729561,0.03542516801798756,0.9249611122216432,0.038483202359655966,,0,0.0029202462212141594
5,3656476,5668,8.3663,93.194,77,0.018000000000000002,0.1,7.0,0.25,1.5651,0.0077,0.0399,0.018000000000000002,4.2251,1.0377,1.2996,1925.0,L,1.7248,0.0099,0.0513,0.021,9.472733,0.88261986,0.2114213180636352,0.020593084503293446,0.020804150973544627,0.4997747409817813,0.344691072366483,0.260706450389634,1.0474576301202771,0.3407151213683275,0.3676265504304024,0.24539301883438241,0.039460407678247544,0.09248843110859861,47.16545785959369,12.9106198194035,9.03775353654757,1.201047961389241,0.11698575331912586,0.11818478545143263,1925.011533038121,6.437321633758302,0.449682269699808,0.005206763787193647,0.05203899429588642,0.0032929222092357366,1.450644988645403,0.0025636354614395618,1.2486307201073656,0.04764313673560405,0.7996148597024129,0.03728025210391117,,1,0.0035559289699716454
6,3735871,6107,2.3457,123.04899999999999,77,0.047,0.1,16.6,-0.04,0.8464,0.0066,0.0399,0.015,4.3956,1.089,1.0957,2862.6,L,1.038,0.0066,0.0399,0.012,9.645882,0.72502613,0.6838715046565924,0.05382585885365532,0.05515664439618018,0.33201950899673954,0.2237098638465187,0.2535768572987643,1.2323525957022101,0.28717183850746864,0.2299211971141666,0.7312658600959762,0.07729666947502079,0.15066341048142617,15.827450344227714,2.703864702753066,1.8707444331262728,3.275427880506724,0.25780094298564604,0.2641747895917428,2864.4878869483955,8.130623990873119,0.4678954785501498,0.0025329556976539935,0.09112241128181194,0.002184257644425938,1.3260088803102001,0.0016215214538757294,1.2821351789455295,0.042237321644660986,0.8326174557499476,0.03544931758948899,,2,0.00355560565416104
7,4914923,5805,7.5678,88.531,77,0.019,0.1,6.3,0.08,1.7886,0.0077,0.0494,0.024,4.1965,1.0586,1.3566,1817.0,L,1.6609,0.0099,0.0589,0.024,9.323963000000001,0.8282193999999999,0.3946710983426927,0.02690739200720782,0.024939458839005224,0.6892439078416541,0.15370973239365449,0.08381542723972968,0.8103513545358075,0.12320501798251282,0.19530482732437948,0.5464508647073336,0.09985340118383895,0.09591246312029544,21.180447912943954,3.162492027131311,4.735675537415744,2.3403941761423406,0.15956046392372958,0.14789064734673962,1813.1589749733027,5.788960660763905,0.44603401587586977,0.003906516944020666,0.06080906432953373,0.0029871338506067546,1.3799307763948974,0.0022477104524714075,1.304378152173715,0.037402596568816726,0.7906701404254992,0.030323969811544615,,0,0.004597485333681355
8,5184732,5846,4.8529,95.545,77,0.024,0.1,4.4,0.36,0.8784,0.0099,0.0589,0.021,4.2548,1.1479,1.3206,2089.3,L,1.5651,0.0077,0.0399,0.015,8.157801,0.82895803,0.5496458134288866,0.01926489449619151,0.01978344579314728,0.3676805018639814,0.22213665604383975,0.18517651660533507,1.1942827516863965,0.20927543599221576,0.23045092508871567,0.5914051831456886,0.04216880196034756,0.08063475306390544,19.57046439515029,2.348163370792154,1.5025644000393044,3.1728978397807968,0.11120896518659551,0.11420236611811996,2094.4305074873814,5.256144893702185,0.47023692135288275,0.003911632870695569,0.06222902840625749,0.002763177823283794,1.3777320761516543,0.002020931926742131,1.2857552960882979,0.03429666812115961,0.8168809326847466,0.02718202469924247,,0,0.004263231610988673
9,5773345,6130,2.5533,57.303000000000004,84,0.03,0.09,5.7,0.21,0.2396,0.0077,0.0304,0.024,3.9930000000000003,1.469,2.0194,1101.2,L,0.2555,0.0066,0.0285,0.021,9.093297999999999,0.7112941999999999,1.092063557606417,0.07422292443082079,0.07976412563046265,0.830080846263301,0.02727711274509126,0.023007244692393125,0.5915436792762863,0.04262284374317149,0.04726987433379026,1.9715533480344365,0.19132383075960435,0.17683004243054246,5.8705355782669955,0.48319450801241715,0.6309149223871513,9.639891337449864,0.6551824948990088,0.7040959277037668,1107.5046157031452,4.676054672332157,0.45810161055758963,0.00789800407807445,0.0619239560862571,0.0045551881302147434,1.0940166273124114,0.004181482971493011,1.2848096837142424,0.05013117767366748,0.861512834805532,0.0651599201347225,,1,0.0035704177717043113
