,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source,f,f_e,g,g_e,A,A_e,H,H_e,flag
0,1435467,11,1,889.25,0.47,0.53,,,,,,,>,6.0,L,890.185153806467,0.31983249403036185,2.4061557836164194,0.31160157631040913,2.328897453358471,0.14803293628839095,1.4242170433597758,0.23139344529679617,
1,1435467,11,2,920.04,1.82,1.99,,,,,,,,-0.43,L,921.9413071824451,1.1489769412387212,2.487192712932698,0.32932487803315946,1.5869158332151065,0.1842209194083382,0.6426493946570779,0.16696856458824158,
2,1435467,12,0,928.22,0.94,0.71,2.39,0.14,0.13,4.79,0.57,0.96,,2.11,L,927.7967560070585,0.5258848403538224,2.53789041412328,0.323379066660747,1.5388721331198114,0.1730502479188293,0.5926494591805519,0.1374291397020697,
3,1435467,12,1,957.04,0.5,0.46,,,,,,,>,6.0,L,957.5143344800672,0.2891651127947962,2.469786063926583,0.29391833576181176,2.5302970951126906,0.13249660812761707,1.6467055523886094,0.2325920331602903,
4,1435467,12,2,989.14,1.24,1.3,,,,,,,,1.63,L,989.6749243957295,0.5254298910813723,2.589332780131521,0.31451579513518907,2.192946747068542,0.16196792851403868,1.1813200141911455,0.22160964912497214,
5,1435467,13,0,995.13,0.43,0.53,2.43,0.18,0.12,4.57,0.75,0.72,>,6.0,L,995.6201364620326,0.3184562203472916,2.6811177806611655,0.31547465152039467,2.0855659961683175,0.16182871478294672,1.0320570726018943,0.17341081217411755,
6,1435467,13,1,1025.88,0.38,0.36,,,,,,,>,6.0,L,1026.0226927872704,0.29877142892699904,2.710629574339264,0.3041380116509713,2.8157834785724383,0.13299647277368942,1.8577794945418258,0.23544273159450424,
7,1435467,13,2,1056.68,1.63,1.49,,,,,,,,2.45,L,1059.6595528263276,1.8181284875539792,2.8234476335930188,0.3264731921825189,2.1626538034087908,0.1705232432934776,1.0503993115217596,0.20173871292870527,
8,1435467,14,0,1064.42,0.34,0.36,2.67,0.18,0.13,3.68,0.53,0.97,>,6.0,L,1065.0271801279841,0.28981034979052334,2.780835712742512,0.3007433635839643,2.242129060197825,0.19743538609183475,1.1444743443520937,0.21433261978172205,
9,1435467,14,1,1097.0,0.29,0.27,,,,,,,>,6.0,L,1097.1054907375792,0.22561474587950256,2.8987078074730768,0.28998995885072404,3.545616317404543,0.12392237521601826,2.756855858890913,0.2919053315410037,
