IDX,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,G,bprp,hrclass,nus+ACo-,l+AF8-nus+ACo-,u+AF8-nus+ACo-,cosi,l+AF8-cosi,u+AF8-cosi,i,l+AF8-i,u+AF8-i,nus,l+AF8-nus,u+AF8-nus,P,l+AF8-P,u+AF8-P,vsini,l+AF8-vsini,u+AF8-vsini,fit+AF8-numax,efit+AF8-numax,fit+AF8-d01,efit+AF8-d01,fit+AF8-d02,efit+AF8-d02,fit+AF8-epsilon,efit+AF8-epsilon,V1,eV1,V2,eV2,rhat+AF8-flag,eye+AF8-flag,comment,neff+AF8-xsplit,neff+AF8-cosi,neff+AF8-split,neff+AF8-i,ebprp
0,1435467,6326,3.0164,70.369,77,0.034,0.1,6.3,0.01,0.3513,0.0088,0.0513,0.021,4.0997,1.3189,1.6925,1406.7,L,0.4951,0.0088,0.0304,0.018,8.779618,0.65381527,SG,1.57736358252059,0.090897575163046,0.097946685421229,0.447345904764917,0.165311252540691,0.10028097293225,1.1070007860296,0.115729845379876,0.177881344936268,1.76941697109257,0.183700330348582,0.18551387882895,6.54117954792479,0.620727642530034,0.757775248049969,11.6697716734201,0.672485379765918,0.724636645412801,1411.42863998576,6.4813550172405,0.458467127156828,0.007580655443334,0.073752442687338,0.006002434259048,1.119160049506,0.004586679312377,1.39177081374556,0.053642407352659,0.995788349608223,0.059508931490072,,0,,960,2229,1514,2289,0.004119087116237
1,2837475,6614,1.627,75.729,77,0.041,0.1,8.2,0.01,0.1757,0.0066,0.0209,0.018,4.1635,1.4291,1.6385,1557.6,L,0.1118,0.0066,0.019,0.015,8.398082,0.57503986,SG,3.12073371478714,0.077538424099728,0.075407658715292,0.32976993418223,0.10102703676013,0.071035399128183,1.23473645980608,0.076335838447155,0.105273720349197,3.30771554007837,0.155028790976574,0.152360068658512,3.49911409670312,0.154079079303604,0.172063854438835,22.3514154172196,0.55534809639078,0.540087062731129,1569.5623870099,5.67048116113779,0.467599510015002,0.007231737710164,0.073024790909072,0.006306174283333,0.91571073664873,0.005382991639422,1.41403498236428,0.040256761657438,1.02955226374511,0.046604068754655,,0,,2991,1454,1737,1462,0.003112502288119
2,3427720,6045,2.2339,120.068,77,0.031,0.1,10.7,+AC0-0.06,0.2396,0.0055,0.0095,0.009,4.3868,1.108,1.1167,2737,L,0.2396,0.0044,0.0209,0.009,9.038882,0.7422743,MS,0.301916393305,0.062497791158252,0.056955228191554,0.553275774687775,0.366961391861804,0.285242259714957,0.984504689841096,0.408266049792568,0.398882136271507,0.366378170084797,0.089664931710005,0.219099701303391,31.5905123798556,11.8219187363809,10.2364495034432,1.47375429106602,0.305072496704658,0.278017404179677,2731.0588356945,7.21050752366318,0.469237197905122,0.002220490169792,0.085479981871112,0.002353309217342,1.35706353725371,0.001597717076375,1.33001255385335,0.037799514685354,0.839940008992541,0.031153285821681,,0,,4491,6127,4305,6779,0.003220864307812
3,3456181,6384,2.0901,52.264,77,0.041,0.1,8.3,+AC0-0.15,0.1278,0.0077,0.019,0.027,3.949,1.4975,2.1483,970,L,0.1278,0.0088,0.0304,0.027,9.559311,0.6523819,SG,0.919518320867124,0.078211210838403,0.079464433448871,0.526857777794192,0.329593946953625,0.233736536862551,1.01589694976976,0.309328682897671,0.356333255194147,1.08169665148566,0.170801683089898,0.381693353722461,10.6999260650485,2.79084206401654,2.00634033320069,8.63489750432817,0.73445604503252,0.746224650992746,967.607936595153,4.91097537991709,0.435398429722481,0.009342685369139,0.081738942648184,0.005723548313931,0.991452259904489,0.004782407648027,1.38148028993902,0.053546580014318,0.982741802784263,0.059343739595588,,0,Only 80+ACU- confident,1438,1734,1263,1667,0.004178874700353
4,3632418,6193,2.6331,60.704,77,0.019,0.1,3,+AC0-0.12,0.1757,0.0077,0.0209,0.024,4.0238,1.4082,1.9114,1166.8,L,0.1757,0.0077,0.0209,0.021,8.128324,0.6891513,SG,0.983423613736827,0.026577248478033,0.027301173802644,0.304472478840563,0.170728834179476,0.120434090291171,1.26141176221367,0.129474107078988,0.175238955333581,1.0328876826428,0.054563740278926,0.07193448737822,11.2055495287602,0.729588419517778,0.6249634340409,8.21663671233104,0.22205648970291,0.228104983267736,1170.05746345501,3.79922820675119,0.436497014853374,0.004893342492865,0.070571692814479,0.004498110188915,1.11930221181439,0.002893800998558,1.35095207712777,0.034803679722677,0.921995748241854,0.034584012248931,,0,,3532,2171,2572,2201,0.002920246221214
5,3656476,5668,8.3663,93.194,77,0.018,0.1,7,0.25,1.5651,0.0077,0.0399,0.018,4.2251,1.0377,1.2996,1925,L,1.7248,0.0099,0.0513,0.021,9.472733,0.88261986,MS,0.211518825778359,0.019592847238083,0.019754720363365,0.463448636793991,0.312849045101529,0.281165845015096,1.08891324840353,0.358074030671125,0.330708314653084,0.240921540198121,0.03482049197732,0.0864138751823,48.0408438205971,12.6823620658345,8.11643534459372,1.20160188586129,0.111303578317619,0.112223151560773,1925.31018310686,6.60875881140919,0.449472748123612,0.005176353480214,0.052144892751685,0.003412062292789,1.45076258355065,0.002493455605959,1.2477795681859,0.048456805801405,0.79693810245545,0.04059730807415,,0,,4456,5201,5963,5669,0.003555928969972
6,3735871,6107,2.3457,123.049,77,0.047,0.1,16.6,+AC0-0.04,0.8464,0.0066,0.0399,0.015,4.3956,1.089,1.0957,2862.6,L,1.038,0.0066,0.0399,0.012,9.645882,0.72502613,MS,0.685687350271532,0.054211049638701,0.053085817001291,0.335210082087265,0.227320340603276,0.234005645643314,1.2289681198654,0.263723450581095,0.233728051703964,0.732051226661467,0.075631940301503,0.135259262783451,15.8104701604087,2.4656827365542,1.82166578870027,3.28412494028092,0.259645828505895,0.254256485146021,2864.64799189282,8.17195149928102,0.467925383460527,0.002540267170184,0.091070945468849,0.002257899176767,1.32592890169708,0.001671132439783,1.2760828720926,0.0397398327001,0.831192887006871,0.034676314165339,,0,,3484,2006,1544,1925,0.003555605654161
7,4914923,5805,7.5678,88.531,77,0.019,0.1,6.3,0.08,1.7886,0.0077,0.0494,0.024,4.1965,1.0586,1.3566,1817,L,1.6609,0.0099,0.0589,0.024,9.323963,0.8282194,SG,0.390523762486692,0.025945803995495,0.025960853759334,0.686459806742792,0.185238258903605,0.095128912603543,0.814187001147116,0.140599317739885,0.231599444736152,0.541000324114424,0.108941400788788,0.107149215742362,21.3938394466074,3.53673493083383,5.3943448859942,2.31580053165038,0.153858260261209,0.153947505153448,1813.11937086035,5.74188804845471,0.446015571110041,0.003764852413979,0.060794975807057,0.002932164591793,1.3798786792397,0.002160532104262,1.30307748809636,0.037337892337178,0.790368413182552,0.030525032291296,,0,,2800,1361,2058,1470,0.004597485333681
8,5184732,5846,4.8529,95.545,77,0.024,0.1,4.4,0.36,0.8784,0.0099,0.0589,0.021,4.2548,1.1479,1.3206,2089.3,L,1.5651,0.0077,0.0399,0.015,8.157801,0.82895803,MS,0.549769959758239,0.019323675458167,0.019082314065196,0.320020143443251,0.190615141967814,0.171360011918827,1.24504557759703,0.187922974493561,0.195981836773571,0.581391401066274,0.035178962001276,0.060122475716168,19.9075425829278,1.86572843109557,1.28215079081014,3.17361448968624,0.111548285495627,0.110154997265912,2094.48366036407,5.36975285728568,0.470100856739768,0.00409946438995,0.062184081829125,0.002979519312495,1.37770820614458,0.002181588088729,1.28654650518918,0.035929102796354,0.817543318809533,0.027156621396127,,0,,3936,2620,3132,2730,0.004263231610989
9,5773345,6130,2.5533,57.303,84,0.03,0.09,5.7,0.21,0.2396,0.0077,0.0304,0.024,3.993,1.469,2.0194,1101.2,L,0.2555,0.0066,0.0285,0.021,9.093298,0.7112942,SG,1.07652461999801,0.076901089422788,0.0758633413949,0.832157375638719,0.027664263157662,0.023144977030953,0.587809531516594,0.043147311218553,0.04816522157395,1.95231097846847,0.208127289869513,0.183355669736982,5.92839676011311,0.508976979607303,0.707414683608324,9.50272563037989,0.67882326134205,0.669662825436269,1107.34360868805,4.75450543188026,0.457886619072814,0.007494861269713,0.062051759030173,0.00440092974656,1.09429577811073,0.004199504146154,1.29050587742736,0.048964552285863,0.869428708432891,0.062993440574654,,0,,1966,2050,1639,2232,0.003570417771704
