KIC           a1   u_a1    l_a1
3427720       337.7    354.1     150.0
7871531       422.5    42.6    60.3
9410862       683.1    566.1     324.7
9098294       473.0    148.0     100.9
7970740       321.8    49.2    47.4
10454113      1351.7   307.4     247.5
6106415       722.6    37.5    41.1
5950854       375.0    1295.8    254.2
12009504      1211.2   64.4    73.1
8938364       229.1    741.5     141.6
7106245       779.6    682.9     506.3
3656476       239.2    71.5    40.9
8150065       649.3    499.4     266.4
8760414       430.0    622.5     317.5
10079226      672.9    205.2     101.0
6933899       333.3    40.7    39.0
4914923       564.0    97.4    109.1
8394589       1066.0   60.8    69.9
8424992       370.8    479.1     204.2
6603624       291.4    1082.4    183.2
11772920      314.9    59.7    61.9
10516096      483.1    64.1    62.1
7296438       646.7    360.0     463.3
8179536       1984.5   167.9     211.8
8228742       903.4    227.6     349.2
3735871       828.5    221.4     170.5
7680114       482.8    182.2     184.5
10963065      1011.4   95.3    98.0
10068307      866.8    111.9     154.0
5184732       552.1    60.0    55.8
9965715       1967.2   83.5    88.7
9955598       382.9    80.1    84.5
12258514      815.7    187.5     287.9
9025370       469.1    86.8    72.0
9139151       974.5    97.5    96.5
8379927       1179.7   49.0    56.9
8006161       561.1    70.9    67.4
8694723       1679.2   111.7     122.1
6225718       1141.3   225.7     152.8
7510397       1532.9   158.6     126.4
