,KIC,Teff,eTeff,age,loage,upage,modmass,lomodmass,upmodmass,P,l_P,u_P,rhat_flag,eye_flag,source,hrclass,comment
0,1435467,6326,77,3.0164,0.3513,0.4951,1.3189,0.0513,0.0304,6.54117954792479,0.620727642530034,0.757775248049969,,0,L,SG,
1,2837475,6614,77,1.627,0.1757,0.1118,1.4291,0.0209,0.019,3.49911409670312,0.154079079303604,0.172063854438835,,0,L,SG,
2,3427720,6045,77,2.2339,0.2396,0.2396,1.108,0.0095,0.0209,31.5905123798556,11.8219187363809,10.2364495034432,,0,L,MS,
3,3456181,6384,77,2.0901,0.1278,0.1278,1.4975,0.019,0.0304,10.6999260650485,2.79084206401654,2.00634033320069,,0,L,SG,Only 80+ACU- confident
4,3632418,6193,77,2.6331,0.1757,0.1757,1.4082,0.0209,0.0209,11.2055495287602,0.729588419517778,0.6249634340409,,0,L,SG,
5,3656476,5668,77,8.3663,1.5651,1.7248,1.0377,0.0399,0.0513,48.0408438205971,12.6823620658345,8.11643534459372,,0,L,MS,
6,3735871,6107,77,2.3457,0.8464,1.038,1.089,0.0399,0.0399,15.8104701604087,2.4656827365542,1.82166578870027,,0,L,MS,
7,4914923,5805,77,7.5678,1.7886,1.6609,1.0586,0.0494,0.0589,21.3938394466074,3.53673493083383,5.3943448859942,,0,L,SG,
8,5184732,5846,77,4.8529,0.8784,1.5651,1.1479,0.0589,0.0399,19.9075425829278,1.86572843109557,1.28215079081014,,0,L,MS,
9,5773345,6130,84,2.5533,0.2396,0.2555,1.469,0.0304,0.0285,5.92839676011311,0.508976979607303,0.707414683608324,,0,L,SG,
10,5950854,5853,77,8.9253,1.1498,1.1179,0.9693,0.0304,0.0285,22.9060784861767,19.7028610563082,34.17698274304,,1,L,MS,+ACI-Bimodel +ACY- diverged  but median looks okay +ACI-
11,6106415,6037,77,5.0286,1.1179,1.2776,1.0681,0.0399,0.0513,15.953761277077,0.777762945975459,0.69538570837981,,0,L,MS,
