KOI    KIC             num     snum    dnu     sdnu    Teff    sTeff   Met     smet   vsini   svsini   Prop     ID    Notes
69	3544595		3366	81	145.77	0.45	5669	75	-0.18	0.10   2.0     0.5      -S-   Kepler-93  2014ApJ...790...12B
85      5866724 	1880    60      89.56   0.48    6169    50      +0.09 	0.08  11.9     0.5      MS-   Kepler-65  2013ApJ...766..101C
244     4349452 	2106    50      98.27   0.57    6270    79      -0.04   0.10  11.1     0.5      MS-   Kepler-25  2012MNRAS.421.2342S
245     8478994 	4660    50      178.7   1.4     5417    75      -0.32   0.07   0.0     0.0      MS-   Kepler-37  2013Natur.494..452B
260     8292840 	1983    37      92.85   0.35    6205    100     -0.26   0.07  10.4     0.5      MSL   Kepler-126 2014ApJ...784...45R
262     11807274        1496    56      75.71   0.31    6225	75	-0.00   0.08  10.3     0.5      MS-   Kepler-50  2013MNRAS.428.1077S
277	11401755	1250	44	67.9	1.2	5960	80	-0.24	0.06   4.9     1.0      MSL   Kepler-36  2012Sci...337..556C
41	6521045		1502	31	77.0	1.1	5825	75	+0.02	0.10    2.9      0.5      MSL Kepler-100  2014ApJS..210...20M
42	8866102		2014	32	94.50	0.60	6325	75	+0.01	0.10   15.0      0.5      -SL Kepler-410  2014ApJ...782...14V 
246	11295426	2154	13	101.57	0.10	5793	74	+0.12	0.07    0.5      0.5      MSL Kepler-68   2013ApJ...766...40G
274	8077137		1324	39	68.80	0.64	6105	100	-0.11	0.07    7.7      0.5      MSL Kepler-128  2014ApJS..210...25X
974	9414417		1115	32	60.05	0.27	6253	75	-0.13	0.10    9.3      0.5      -SL - -
1925	9955598		3546	119	153.18	0.14	5460	75	+0.08	0.10    1.6      0.5      -SL Kepler-409  2014ApJS..210...20M
2	10666592	1115	110	59.22	0.59	6350	80	+0.26	0.08	3.8	0.5	-S- HAT-P7        2008ApJ...680.1450P
275	10586004	1395	40	69.2	1.4	5770	83	+0.29	0.10	3.4	0.5	MSL Kepler-129    2014ApJ...784...45R 
281	4143755		1458	57	77.2	1.3	5622	106	-0.40	0.11	2.2	0.6	--L - - 
288	9592705		1008	21	53.54	0.32	6174	92	+0.22	0.10	9.4	0.5	-SL - - 
370	8494142		1133	81	61.80	0.76	6144	106	+0.13	0.10	8.9	0.5	MSL Kepler-145    2014ApJS..210...25X
975	3632418		1153	32	60.86	0.55	6305	50	-0.03	0.10	7.7	1.0	-S- Kepler-21     2012ApJ...746..123H
1612	10963065	2193	48	103.20	0.63	6104	74	-0.20	0.10	3.4	0.5	-S- Kepler-408    2014ApJS..210...20M 
7	11853905	1436	42	74.4	1.1	5781	76	+0.09	0.10	2.3	0.5	-S- Kepler-4      2010ApJ...713L.126B
72	11904151	2730	280	118.2	0.20	5647	74	-0.15	0.10	0.5	0.5	MS- Kepler-10     2011ApJ...729...27B
108	4914423		1663	56	81.5	1.6	5845	88	+0.07	0.11	3.8	0.7	MSL Kepler-103    2014ApJS..210...20M
123	5094751		1745	117	91.1	2.3	5952	75	-0.08	0.10	2.8	0.5	MS- Kepler-109    2014ApJS..210...20M
280	4141376		2928	97	128.8	1.3	6134	91	-0.24	0.10	3.5	0.5	-SL - - 
285	6196457		1299	53	66.6	1.1	5871	94	+0.17	0.11	4.2	0.6	MSL Kepler-92     2014ApJS..210...25X 
263	10514430	1303	30	70.	1.0	5784	98	-0.11	0.11	2.7	0.6	-SL False-positive - 
276	11133306	2381	95	107.9	1.9	5982	82	-0.02	0.10	2.8	0.5	-SL - - 
269	7670943		1895	73	88.6	1.3	6463	110	+0.09	0.11	13.5	0.6	-SL - - 
122	8349582		1677	90	83.6	1.4	5699	74	+0.30	0.10	2.3	0.5	-SL Kepler-95     2014ApJS..210...20M
268	3425851		2038	60	92.6	1.5	6343	85	-0.04	0.10	9.5	0.5	-SL - - 
5	8554498		1153	76	61.98	0.96	5945	60	+0.17	0.05	10.3	0.5	MS- - - 
3158	6278762		4538	144	179.64	0.76	5046	74	-0.37	0.09	0.0	0.0	MSL Kepler-444    2015ApJ...799..170C 

