,KIC,C15_P_rot,C15_eP_rot,D16_P_rot,D16_u_eP_rot,D16_l_eP_rot,N15_P_rot,N15_u_eP_rot,N15_l_eP_rot,B18_P_rot,B18_l_eP_rot,B18_u_eP_rot
0,1435467,,,,,,,,,,,
1,2837475,,,,,,,,,,,
2,3427720,,,,,,,,,34.273242742298116,27.389378856391673,17.542866804058637
3,3456181,,,,,,,,,,,
4,3632418,12.591,0.036000000000000004,,,,,,,,,
5,3656476,,,,,,,,,48.386597299640776,9.979888197454905,11.13499101037759
6,3735871,,,,,,,,,13.969914392364602,3.6198638357114934,2.9459368001424178
7,4914923,,,,,,17.98,3.17,2.27,20.521407932755448,4.921709398688986,3.0220519090571223
8,5184732,,,,,,19.44,1.63,2.13,20.963727719750175,2.3569937674029013,2.0549316503594355
9,5773345,,,,,,,,,,,
10,5950854,,,,,,,,,30.864197530864192,64.94767394325892,23.936932703192376
11,6106415,,,,,,,,,16.01726276511773,0.9659713861281567,0.7902214888724082
12,6116048,,,,,,17.61,0.95,1.31,,,
13,6225718,,,,,,,,,10.141132107311025,1.5675922974174252,1.674362484725748
14,6508366,,,,,,,,,,,
15,6603624,,,,,,,,,39.71885406339764,67.25040724967143,31.29399303990509
16,6679371,,,,,,,,,,,
17,6933899,,,,,,29.92,4.9,6.76,34.725694791701386,4.6017740294813265,3.778972668508679
18,7103006,,,,,,,,,,,
19,7106245,,,,,,,,,14.846169925697884,27.503168069450567,6.9322731229121946
20,7206837,,,,,,,,,,,
21,7296438,,,,,,,,,17.897130159384677,45.211234475697495,6.400086279307125
22,7510397,,,,,,,,,7.550442999591671,0.6785467437955122,0.7079516758706701
23,7680114,,,,,,,,,23.972812912332376,14.827301315203908,6.568190244551815
24,7771282,,,,,,,,,,,
25,7871531,,,,,,,,,27.394258163488928,4.560667496572016,2.509127924671315
26,7940546,,,,,,,,,,,
27,7970740,,,,,,,,,35.966668968533476,6.212901272261242,4.769703809304168
28,8006161,,,,,,,,,20.627471171046288,2.8160655396567122,2.3140628259923766
29,8150065,,,,,,,,,17.825464460301976,12.401942366739217,7.749662184621577
30,8179536,,,,,,,,,5.8322368728012455,0.6968284366555553,0.4549491595165067
31,8228742,,,,,,,,,12.811682614649182,8.072608388732398,2.578195369667686
32,8379927,,,,,,,,,9.81103168099862,0.4971924676245294,0.3912595038405904
33,8394589,,,,,,,,,10.85748036967549,0.7619093242047157,0.5858491360279281
34,8424992,,,,,,,,,31.21379200127851,38.258441336501036,17.59563213061835
35,8694723,,,,,,,,,6.89261200218799,0.5404841856445648,0.4298982414676411
36,8760414,,,,,,,,,26.91645133505598,75.964207101158,15.919706371565177
37,8938364,,,,,,,,,50.51974715876942,81.75538511636283,38.595088108620985
38,9025370,,,,,,,,,24.672935566135305,4.473561724406299,3.852510896097396
39,9098294,,,,,,,,,24.469501213687256,6.63523964649568,5.831700772344142
40,9139151,,,,,,,,,11.876935940558308,1.3053807725101105,1.080225050563838
41,9139163,,,,,,,,,,,
42,9206432,,,,,,,,,,,
43,9353712,,,,,,,,,,,
44,9410862,,,,,,,,,16.943454946675555,15.3502785189329,7.678265966468965
45,9414417,10.847000000000001,0.002,,,,,,,,,
46,9812850,,,,,,,,,,,
47,9955598,,,,,,,,,30.227406827041193,8.55970468124994,5.229406667053993
48,9965715,,,,,,,,,5.883526877833506,0.2778114634356301,0.23956429233876086
49,10068307,,,,,,,,,13.352646601377565,2.88483105585318,1.5266794264781343
50,10079226,,,,,,,,,17.20028841443613,3.037644920192431,4.019472933199285
51,10162436,,,,,,,,,,,
52,10454113,,,,,,,,,8.562605662553874,1.9192581973212128,1.5864896514188782
53,10516096,,,,,,,,,23.957926048590505,3.5339363601365044,2.80647488982941
54,10644253,,,,,,,,,,,
55,10730618,,,,,,,,,,,
56,10963065,12.444,0.172,,,,12.01,1.42,1.09,11.443616842074425,1.2278021135573614,0.9854311783226652
57,11081729,,,,,,,,,,,
58,11253226,,,,,,,,,,,
59,11772920,,,,,,,,,36.75476047657692,8.992567879447087,5.857605980917352
60,12009504,,,,,,,,,9.55587357502813,0.6137723911207758,0.4824382707994772
61,12069127,,,,,,,,,,,
62,12069424,,,23.8,1.5,1.8,,,,,,
63,12069449,,,23.2,11.5,3.2,,,,,,
64,12258514,,,,,,,,,14.189130898705496,7.7397703405405665,2.6519757211994435
65,12317678,,,,,,,,,,,
66,3425851,7.872999999999999,0.001,,,,,,,,,
67,3544595,,,,,,,,,,,
68,4141376,15.78,2.12,,,,,,,,,
69,4143755,,,,,,,,,,,
70,4349452,23.147,0.039,,,,,,,,,
71,4914423,,,,,,,,,,,
72,5094751,,,,,,,,,,,
73,5866724,7.9110000000000005,0.155,,,,,,,,,
74,6196457,,,,,,,,,,,
75,6278762,,,,,,,,,,,
76,6521045,24.988000000000003,2.1919999999999997,,,,,,,,,
77,7670943,5.274,0.033,,,,,,,,,
78,8077137,,,,,,,,,,,
79,8292840,,,,,,,,,,,
80,8349582,,,,,,,,,,,
81,8494142,,,,,,,,,,,
82,8554498,,,,,,,,,,,
83,8866102,20.85,0.006999999999999999,,,,,,,,,
84,9592705,13.38,0.099,,,,,,,,,
85,10514430,,,,,,,,,,,
86,10586004,,,,,,,,,,,
87,10666592,,,,,,,,,,,
88,11133306,,,,,,,,,,,
89,11295426,,,,,,,,,,,
90,11401755,,,,,,,,,,,
91,11807274,7.553,0.755,,,,,,,,,
92,11853905,,,,,,,,,,,
93,11904151,,,,,,,,,,,
