,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,evsini,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,vsini,G,bprp
0,1435467,6326,3.0164,70.369,77,0.034,0.1,6.3,0.5,0.01,0.3513,0.0088,0.0513,0.021,4.0997,1.3189,1.6925,1406.7,L,0.4951,0.0088,0.0304,0.018,11.9,8.779618,0.65381527
1,2837475,6614,1.627,75.729,77,0.041,0.1,8.2,0.5,0.01,0.1757,0.0066,0.0209,0.018,4.1635,1.4291,1.6385,1557.6,L,0.1118,0.0066,0.019,0.015,23.3,8.398082,0.57503986
2,3427720,6045,2.2339,120.068,77,0.031,0.1,10.7,0.5,-0.06,0.2396,0.0055,0.0095,0.009,4.3868,1.108,1.1167,2737.0,L,0.2396,0.0044,0.0209,0.009,2.9,9.038882,0.7422743
3,3456181,6384,2.0901,52.264,77,0.041,0.1,8.3,0.5,-0.15,0.1278,0.0077,0.019,0.027,3.949,1.4975,2.1483,970.0,L,0.1278,0.0088,0.0304,0.027,8.5,9.559311,0.6523819
4,3632418,6193,2.6331,60.704,77,0.019,0.1,3.0,0.5,-0.12,0.1757,0.0077,0.0209,0.024,4.0238,1.4082,1.9114,1166.8,L,0.1757,0.0077,0.0209,0.021,8.5,8.128324,0.6891513
5,3656476,5668,8.3663,93.194,77,0.018,0.1,7.0,0.5,0.25,1.5651,0.0077,0.0399,0.018,4.2251,1.0377,1.2996,1925.0,L,1.7248,0.0099,0.0513,0.021,2.3,9.472733,0.88261986
6,3735871,6107,2.3457,123.049,77,0.047,0.1,16.6,0.5,-0.04,0.8464,0.0066,0.0399,0.015,4.3956,1.089,1.0957,2862.6,L,1.038,0.0066,0.0399,0.012,4.8,9.645882,0.72502613
7,4914923,5805,7.5678,88.531,77,0.019,0.1,6.3,0.5,0.08,1.7886,0.0077,0.0494,0.024,4.1965,1.0586,1.3566,1817.0,L,1.6609,0.0099,0.0589,0.024,3.4,9.323963,0.8282194
8,5184732,5846,4.8529,95.545,77,0.024,0.1,4.4,0.5,0.36,0.8784,0.0099,0.0589,0.021,4.2548,1.1479,1.3206,2089.3,L,1.5651,0.0077,0.0399,0.015,4.0,8.157801,0.82895803
9,5773345,6130,2.5533,57.303,84,0.03,0.09,5.7,,0.21,0.2396,0.0077,0.0304,0.024,3.993,1.469,2.0194,1101.2,L,0.2555,0.0066,0.0285,0.021,,9.093298,0.7112942
