  |KIC|identifier|B|V
1 |KIC 1435467 |BD+36 3570               | 9.40 | 8.97 
2 |KIC 2837475 |HD 179260                | 8.94 | 8.49 
3 |KIC 3427720 |BD+38 3428               | 9.77 | 9.22 
4 |KIC 3456181 |TYC 3135-416-1           |10.20 | 9.72 
5 |KIC 3632418 |HD 179070                | 8.767| 8.25 
6 |KIC 3656476 |TYC 3135-624-1           |10.35 | 9.55 
7 |KIC 3735871 |TYC 3121-559-1           |10.35 | 9.75 
8 |KIC 4914923 |BD+39 3706               |  -99   | -99    
9 |KIC 5184732 |HD 182756                | 9.01 | 8.31 
10|KIC 5773345 |BD+40 3567               | 9.77 | 9.27 
11|KIC 5950854 |TYC 3129-3292-1          |11.59 |11.00 
12|KIC 6106415 |HD 177153                | 7.76 | 7.21 
13|KIC 6116048 |HD 181207                | 9.06 | 8.47 
14|KIC 6225718 |HD 187637                |   -99|    -99
15|KIC 6508366 |HD 178688                | 9.48 | 9.02 
16|KIC 6603624 |BD+41 3338               | 9.97 | 9.19 
17|KIC 6679371 |HD 179732                | 9.19 | 8.74 
18|KIC 6933899 |BD+42 3247               |10.32 | 9.75 
19|KIC 7103006 |HD 178509                | 9.39 | 8.86 
20|KIC 7106245 |TYC 3129-1587-1          |11.49 |10.84 
21|KIC 7206837 |TYC 3143-53-1            |10.31 | 9.85 
22|KIC 7296438 |KOI-364                  |10.81 |10.13 
23|KIC 7510397 |HD 177412                | 8.38 | 7.86 
24|KIC 7680114 |BD+43 3228               |10.84 |10.15 
25|KIC 7771282 |TYC 3148-521-1           |11.22 |10.89 
26|KIC 7871531 |BD+43 3102               |10.10 | 9.44 
27|KIC 7940546 |HD 175226                | 7.91 | 7.42 
28|KIC 7970740 |HD 186306                | 8.70 | 7.96 
29|KIC 8006161 |HD 173701                | 8.37 | 7.52 
30|KIC 8150065 |TYC 3132-1582-1          |11.53 |11.05 
31|KIC 8179536 |BD+43 3349               |10.01 | 9.51 
32|KIC 8228742 |BD+43 3221               |10.03 | 9.50 
33|KIC 8379927 |HD 187160                | 7.650| 7.083
34|KIC 8394589 |HD 190166                |10.13 | 9.58 
35|KIC 8424992 |BD+44 3101               |11.06 |10.37 
36|KIC 8694723 |BD+44 3183               | 9.38 | 8.92 
37|KIC 8760414 |BD+44 3197               |  -99   | -99    
38|KIC 8938364 |TYC 3541-2345-1          |10.90 |10.21 
39|KIC 9025370 |HD 184401                | 9.63 | 8.95 
40|KIC 9098294 |TYC 3556-3445-1          |10.48 | 9.91 
41|KIC 9139151 |BD+45 2796               | 9.80 | 9.29 
42|KIC 9139163 |HD 176071                | 8.81 | 8.33 
43|KIC 9206432 |HD 177723                | 9.54 | 9.10 
44|KIC 9353712 |TYC 3557-1752-1          |11.39 |10.86 
45|KIC 9410862 |TYC 3556-909-1           |11.31 |10.78 
46|KIC 9414417 |BD+45 2960               |10.16 | 9.64 
47|KIC 9812850 |BD+46 2555               | 9.98 | 9.52 
48|KIC 9955598 |BD+46 2726               |10.36 | 9.64 
49|KIC 9965715 |BD+46 2785               | 9.68 | 9.21 
50|KIC 10068307|HD 180867                | 8.75 | 8.24 
