# %ECSV 0.9
# ---
# datatype:
# - {name: SmoothedAmp, datatype: float64}
# - {name: Prot, unit: d, datatype: float64}
# - {name: Name, datatype: string}
# - {name: Assoc, datatype: string}
# schema: astropy-2.0
SmoothedAmp Prot Name Assoc
0.0010 1.11 "KIC 9716563" "NGC 6811"
0.0003 2.50 "KIC 9716076" "NGC 6811"
0.0003 0.92 "KIC 9715923" "NGC 6811"
0.0002 2.31 "KIC 9716139" "NGC 6811"
0.0005 1.81 "KIC 9655357" "NGC 6811"
0.0030 1.49 "KIC 9655145" "NGC 6811"
0.0005 2.06 "KIC 9655730" "NGC 6811"
0.0004 1.90 "KIC 9594038" "NGC 6811"
0.0034 4.81 "KIC 9656480" "NGC 6811"
0.0003 5.83 "KIC 9655911" "NGC 6811"
0.0016 1.99 "KIC 9716376" "NGC 6811"
0.0040 6.53 "KIC 9471344" "NGC 6811"
0.0009 7.15 "KIC 9655268" "NGC 6811"
0.0014 8.21 "KIC 9776415" "NGC 6811"
0.0013 6.23 "KIC 9532828" "NGC 6811"
0.0069 9.23 "KIC 9778187" "NGC 6811"
0.0090 7.00 "KIC 9410241" "NGC 6811"
0.0034 9.28 "KIC 9776475" "NGC 6811"
0.0023 9.82 "KIC 9656165" "NGC 6811"
0.0077 9.08 "KIC 9655917" "NGC 6811"
0.0060 10.04 "KIC 9411496" "NGC 6811"
0.0016 9.88 "KIC 9594287" "NGC 6811"
0.0126 9.98 "KIC 9716008" "NGC 6811"
0.0137 10.19 "KIC 9532127" "NGC 6811"
0.0031 10.44 "KIC 9592579" "NGC 6811"
0.0122 9.68 "KIC 9470987" "NGC 6811"
0.0147 10.67 "KIC 9655315" "NGC 6811"
0.0031 10.97 "KIC 9716650" "NGC 6811"
0.0128 10.53 "KIC 9715987" "NGC 6811"
0.0062 10.15 "KIC 9655276" "NGC 6811"
0.0168 9.69 "KIC 9716502" "NGC 6811"
0.0049 10.58 "KIC 9776546" "NGC 6811"
0.0040 10.41 "KIC 9836149" "NGC 6811"
0.0180 10.43 "KIC 9896700" "NGC 6811"
0.0103 11.03 "KIC 9716955" "NGC 6811"
0.0224 11.48 "KIC 10018969" "NGC 6811"
0.0238 11.24 "KIC 9777828" "NGC 6811"
0.0009 13.26 "KIC 9838036" "NGC 6811"
0.0122 13.56 "KIC 9095289" "NGC 6811"
0.0113 11.11 "KIC 9718106" "NGC 6811"
0.0133 10.22 "KIC 9593885" "NGC 6811"
0.0250 11.11 "KIC 9655172" "NGC 6811"
0.0156 11.71 "KIC 9838215" "NGC 6811"
0.0216 11.49 "KIC 9531467" "NGC 6811"
0.0143 10.93 "KIC 9957187" "NGC 6811"
0.0006 12.17 "KIC 9287620" "NGC 6811"
0.0075 9.62 "KIC 9469735" "NGC 6811"
0.0070 11.80 "KIC 9471316" "NGC 6811"
0.0156 9.88 "KIC 9776413" "NGC 6811"
0.0113 11.02 "KIC 9655609" "NGC 6811"
0.0191 10.90 "KIC 9656371" "NGC 6811"
0.0064 11.02 "KIC 9595006" "NGC 6811"
0.0075 10.98 "KIC 9469908" "NGC 6811"
0.0092 11.08 "KIC 9469760" "NGC 6811"
0.0093 10.46 "KIC 9654970" "NGC 6811"
0.0020 10.87 "KIC 9286138" "NGC 6811"
0.0041 11.11 "KIC 9655225" "NGC 6811"
0.0062 11.03 "KIC 9655469" "NGC 6811"
0.0038 10.71 "KIC 9655677" "NGC 6811"
0.0097 10.90 "KIC 9715637" "NGC 6811"
0.0132 10.78 "KIC 9776327" "NGC 6811"
0.0101 11.28 "KIC 9896609" "NGC 6811"
