,KIC,Teff,eTeff,age,loage,upage,modmass,lomodmass,upmodmass,feh,efeh,modlogg,upmodlogg,lomodlogg,nus*,l_nus*,u_nus*,i,l_i,u_i,P,l_P,u_P,flag,hrclass,source
0,1435467,6326,77,3.0164,0.3513,0.4951,1.3189,0.0513,0.0304,0.01,0.1,4.0997,0.0088,0.0088,1.57736358252059,0.09089757516304599,0.097946685421229,63.42647295716079,6.630831703968483,10.191850318958954,6.5411795479247905,0.620727642530034,0.7577752480499691,0,H,L
1,2837475,6614,77,1.6269999999999998,0.1757,0.1118,1.4291,0.0209,0.019,0.01,0.1,4.1635,0.0066,0.0066,3.1207337147871397,0.077538424099728,0.07540765871529201,70.74518795781299,4.373721368614465,6.031739869649479,3.49911409670312,0.154079079303604,0.172063854438835,0,H,L
2,3425851,6343,85,3.32,0.64,0.85,1.178,0.049,0.049,-0.04,0.1,4.243,0.008,0.008,1.17436492424274,0.6179506771183221,0.47884073133852295,60.89157138798833,22.7436116833023,20.057891805939516,8.08274904403979,2.70967235891706,8.63754204656919,0,H,K
3,3427720,6045,77,2.2339,0.2396,0.2396,1.1079999999999999,0.0095,0.0209,-0.06,0.1,4.3868,0.0044,0.0055,0.301916393305,0.06249779115825199,0.056955228191554,56.407963638730934,23.391921571592068,22.85426293151952,31.5905123798556,11.821918736380901,10.236449503443199,0,MS,L
4,3456181,6384,77,2.0901,0.1278,0.1278,1.4975,0.019,0.0304,-0.15,0.1,3.949,0.0088,0.0077,0.919518320867124,0.078211210838403,0.079464433448871,58.20660764202104,17.723228012377117,20.416391622782744,10.6999260650485,2.79084206401654,2.00634033320069,0,H,L
5,3544595,5669,75,6.63,0.57,0.62,0.899,0.009000000000000001,0.009000000000000001,-0.18,0.1,4.468,0.003,0.003,0.40396794683275394,0.03773007331044,0.038953778691884,66.03003102085945,13.890693187261531,15.593488787917206,26.062736077575696,4.70906378305633,3.87399424030691,0,MS,K
6,3632418,6193,77,2.6331,0.1757,0.1757,1.4082,0.0209,0.0209,-0.12,0.1,4.0238,0.0077,0.0077,0.9834236137368271,0.026577248478032996,0.027301173802643994,72.27357020300305,7.418319891850908,10.040452546895738,11.2055495287602,0.729588419517778,0.6249634340409,0,MS,L
7,3656476,5668,77,8.3663,1.5651,1.7248,1.0377,0.0399,0.0513,0.25,0.1,4.2251,0.0099,0.0077,0.21151882577835898,0.019592847238083,0.019754720363365,62.3901333894029,20.516130710693453,18.94819067950615,48.040843820597104,12.6823620658345,8.11643534459372,0,MS,L
8,3735871,6107,77,2.3457,0.8464,1.038,1.089,0.0399,0.0399,-0.04,0.1,4.3956,0.0066,0.0066,0.6856873502715319,0.054211049638701,0.05308581700129099,70.41468642441528,15.11024067692368,13.391630916452625,15.8104701604087,2.4656827365542,1.82166578870027,0,MS,L
9,4141376,6134,91,3.27,0.64,0.59,1.0190000000000001,0.03,0.021,-0.24,0.1,4.412,0.003,0.004,0.759614093097121,0.133877082028248,0.131600199960199,63.96015253656831,16.742227490537374,17.494756241649704,13.389481116742498,3.04309586862881,3.4304470663025,0,MS,K
10,4143755,5622,106,11.27,1.35,1.5,0.9179999999999999,0.03,0.021,-0.4,0.11,4.102,0.001,0.002,0.17923148866307,0.047051639260419005,0.084704188957708,45.77800106928006,27.288429318647808,30.63209021750751,48.0996728682896,32.730912645817696,27.4122337774145,1,MS,K
11,4349452,6270,79,3.45,0.72,0.81,1.159,0.051,0.04,-0.04,0.1,4.275,0.006999999999999999,0.008,1.5037799157649199,0.09271793204916401,0.09421153223062599,79.74679751816605,9.968959805102397,7.0843206103858805,7.50941732467286,0.574869776593937,0.539075996717708,0,H,K
12,4914423,5845,88,6.67,0.62,0.69,1.099,0.03,0.019,0.07,0.11,4.155,0.004,0.004,0.423520620353448,0.137366127646181,0.150727090807683,61.2926281776423,30.458881255390725,19.765264650725214,23.0730692211413,9.635233380943768,11.744520781615801,0,MS,K
